id;kecamatan_id;nama;kodepos;;
54;9;kerta;42355;;['id'=>'54','kecamatan_id'=>'9','nama'=>'kerta','kodepos'=>'42355'],
55;9;kertaraharja;42355;;['id'=>'55','kecamatan_id'=>'9','nama'=>'kertaraharja','kodepos'=>'42355'],
56;9;kertarahayu;42355;;['id'=>'56','kecamatan_id'=>'9','nama'=>'kertarahayu','kodepos'=>'42355'],
57;9;keusik;42355;;['id'=>'57','kecamatan_id'=>'9','nama'=>'keusik','kodepos'=>'42355'],
58;9;kumpay;42355;;['id'=>'58','kecamatan_id'=>'9','nama'=>'kumpay','kodepos'=>'42355'],
59;9;labanjaya;42355;;['id'=>'59','kecamatan_id'=>'9','nama'=>'labanjaya','kodepos'=>'42355'],
60;9;lebakkeusik;42355;;['id'=>'60','kecamatan_id'=>'9','nama'=>'lebakkeusik','kodepos'=>'42355'],
61;9;leuwiipuh;42355;;['id'=>'61','kecamatan_id'=>'9','nama'=>'leuwiipuh','kodepos'=>'42355'],
62;9;tamansari;42355;;['id'=>'62','kecamatan_id'=>'9','nama'=>'tamansari','kodepos'=>'42355'],
63;9;umbuljaya;42355;;['id'=>'63','kecamatan_id'=>'9','nama'=>'umbuljaya','kodepos'=>'42355'],
64;10;bayah barat;42393;;['id'=>'64','kecamatan_id'=>'10','nama'=>'bayah barat','kodepos'=>'42393'],
65;10;bayah timur;42393;;['id'=>'65','kecamatan_id'=>'10','nama'=>'bayah timur','kodepos'=>'42393'],
66;10;cidikit;42393;;['id'=>'66','kecamatan_id'=>'10','nama'=>'cidikit','kodepos'=>'42393'],
67;10;cimancak;42393;;['id'=>'67','kecamatan_id'=>'10','nama'=>'cimancak','kodepos'=>'42393'],
68;10;cisuren;42393;;['id'=>'68','kecamatan_id'=>'10','nama'=>'cisuren','kodepos'=>'42393'],
69;10;darmasari;42393;;['id'=>'69','kecamatan_id'=>'10','nama'=>'darmasari','kodepos'=>'42393'],
70;10;pamubulan;42393;;['id'=>'70','kecamatan_id'=>'10','nama'=>'pamubulan','kodepos'=>'42393'],
71;10;pasirgombong;42393;;['id'=>'71','kecamatan_id'=>'10','nama'=>'pasirgombong','kodepos'=>'42393'],
72;10;sawarna;42393;;['id'=>'72','kecamatan_id'=>'10','nama'=>'sawarna','kodepos'=>'42393'],
73;10;sawarna timur;42393;;['id'=>'73','kecamatan_id'=>'10','nama'=>'sawarna timur','kodepos'=>'42393'],
74;10;suwakan;42393;;['id'=>'74','kecamatan_id'=>'10','nama'=>'suwakan','kodepos'=>'42393'],
75;11;bojongmanik;42363;;['id'=>'75','kecamatan_id'=>'11','nama'=>'bojongmanik','kodepos'=>'42363'],
76;11;cimayang;42363;;['id'=>'76','kecamatan_id'=>'11','nama'=>'cimayang','kodepos'=>'42363'],
77;11;harjawana;42363;;['id'=>'77','kecamatan_id'=>'11','nama'=>'harjawana','kodepos'=>'42363'],
78;11;kadurahayu;42363;;['id'=>'78','kecamatan_id'=>'11','nama'=>'kadurahayu','kodepos'=>'42363'],
79;11;keboncau;42363;;['id'=>'79','kecamatan_id'=>'11','nama'=>'keboncau','kodepos'=>'42363'],
80;11;mekar rahayu;42363;;['id'=>'80','kecamatan_id'=>'11','nama'=>'mekar rahayu','kodepos'=>'42363'],
81;11;mekarmanik;42363;;['id'=>'81','kecamatan_id'=>'11','nama'=>'mekarmanik','kodepos'=>'42363'],
82;11;parakanbeusi;42363;;['id'=>'82','kecamatan_id'=>'11','nama'=>'parakanbeusi','kodepos'=>'42363'],
83;11;pasirbitung;42363;;['id'=>'83','kecamatan_id'=>'11','nama'=>'pasirbitung','kodepos'=>'42363'],
84;12;asem;42357;;['id'=>'84','kecamatan_id'=>'12','nama'=>'asem','kodepos'=>'42357'],
85;12;asem margaluyu;42357;;['id'=>'85','kecamatan_id'=>'12','nama'=>'asem margaluyu','kodepos'=>'42357'],
86;12;bojong leles;42357;;['id'=>'86','kecamatan_id'=>'12','nama'=>'bojong leles','kodepos'=>'42357'],
87;12;bojongcae;42357;;['id'=>'87','kecamatan_id'=>'12','nama'=>'bojongcae','kodepos'=>'42357'],
88;12;cibadak;42357;;['id'=>'88','kecamatan_id'=>'12','nama'=>'cibadak','kodepos'=>'42357'],
89;12;cimenteng jaya;42357;;['id'=>'89','kecamatan_id'=>'12','nama'=>'cimenteng jaya','kodepos'=>'42357'],
90;12;cisangu;42357;;['id'=>'90','kecamatan_id'=>'12','nama'=>'cisangu','kodepos'=>'42357'],
91;12;kaduagung barat;42357;;['id'=>'91','kecamatan_id'=>'12','nama'=>'kaduagung barat','kodepos'=>'42357'],
92;12;kaduagung tengah;42357;;['id'=>'92','kecamatan_id'=>'12','nama'=>'kaduagung tengah','kodepos'=>'42357'],
93;12;kaduagung timur;42357;;['id'=>'93','kecamatan_id'=>'12','nama'=>'kaduagung timur','kodepos'=>'42357'],
94;12;malabar;42357;;['id'=>'94','kecamatan_id'=>'12','nama'=>'malabar','kodepos'=>'42357'],
95;12;mekar agung;42357;;['id'=>'95','kecamatan_id'=>'12','nama'=>'mekar agung','kodepos'=>'42357'],
96;12;panancangan;42357;;['id'=>'96','kecamatan_id'=>'12','nama'=>'panancangan','kodepos'=>'42357'],
97;12;pasar keong;42357;;['id'=>'97','kecamatan_id'=>'12','nama'=>'pasar keong','kodepos'=>'42357'],
98;12;tambakbaya;42357;;['id'=>'98','kecamatan_id'=>'12','nama'=>'tambakbaya','kodepos'=>'42357'],
99;13;cibeber;42394;;['id'=>'99','kecamatan_id'=>'13','nama'=>'cibeber','kodepos'=>'42394'],
100;13;cihambali;42394;;['id'=>'100','kecamatan_id'=>'13','nama'=>'cihambali','kodepos'=>'42394'],
101;13;ciherang;42394;;['id'=>'101','kecamatan_id'=>'13','nama'=>'ciherang','kodepos'=>'42394'],
102;13;cikadu;42394;;['id'=>'102','kecamatan_id'=>'13','nama'=>'cikadu','kodepos'=>'42394'],
103;13;cikotok;42394;;['id'=>'103','kecamatan_id'=>'13','nama'=>'cikotok','kodepos'=>'42394'],
104;13;cisungsang;42394;;['id'=>'104','kecamatan_id'=>'13','nama'=>'cisungsang','kodepos'=>'42394'],
105;13;citorek barat;42394;;['id'=>'105','kecamatan_id'=>'13','nama'=>'citorek barat','kodepos'=>'42394'],
106;13;citorek kidul (ciusul);42394;;['id'=>'106','kecamatan_id'=>'13','nama'=>'citorek kidul (ciusul)','kodepos'=>'42394'],
107;13;citorek sabrang (girimukti);42394;;['id'=>'107','kecamatan_id'=>'13','nama'=>'citorek sabrang (girimukti)','kodepos'=>'42394'],
108;13;citorek tengah;42394;;['id'=>'108','kecamatan_id'=>'13','nama'=>'citorek tengah','kodepos'=>'42394'],
109;13;citorek timur (ciparay);42394;;['id'=>'109','kecamatan_id'=>'13','nama'=>'citorek timur (ciparay)','kodepos'=>'42394'],
110;13;gunungwangun;42394;;['id'=>'110','kecamatan_id'=>'13','nama'=>'gunungwangun','kodepos'=>'42394'],
111;13;hegarmanah;42394;;['id'=>'111','kecamatan_id'=>'13','nama'=>'hegarmanah','kodepos'=>'42394'],
112;13;kujangjaya;42394;;['id'=>'112','kecamatan_id'=>'13','nama'=>'kujangjaya','kodepos'=>'42394'],
113;13;kujangsari;42394;;['id'=>'113','kecamatan_id'=>'13','nama'=>'kujangsari','kodepos'=>'42394'],
114;13;mekarsari;42394;;['id'=>'114','kecamatan_id'=>'13','nama'=>'mekarsari','kodepos'=>'42394'],
115;13;neglasari;42394;;['id'=>'115','kecamatan_id'=>'13','nama'=>'neglasari','kodepos'=>'42394'],
